#{"t_start": 1780981073.5183122, "env_id": "None"}
r,l,t
86.552999,99,401.291841
86.552999,99,405.513432
86.552999,99,409.651093
86.552999,99,413.475879
86.552999,99,417.337294
86.552999,99,421.279992
86.552999,99,425.21757
86.209978,99,429.050694
86.552999,99,433.191767
86.552728,99,437.105873
86.552999,99,440.969875
86.552832,99,444.762552
86.552832,99,448.755084
85.767198,99,452.538347
86.209978,99,456.596367
86.487493,99,460.413306
87.842513,99,464.315166
86.552832,99,468.18341
86.485141,99,472.322605
86.437904,99,476.22024
86.552999,99,480.174691
86.494924,99,484.077654
86.494922,99,487.953325
86.485141,99,491.927026
86.552999,99,495.703042
87.842513,99,499.561549
85.662745,99,503.569155
85.864543,99,507.408487
86.485141,99,511.290561
86.487493,99,515.197475
87.842513,99,519.079492
86.261243,99,522.944365
87.842513,99,526.861276
86.552832,99,530.892851
86.552999,99,534.860032
86.261243,99,538.558308
86.261243,99,542.637165
86.553353,99,546.419108
86.167386,99,550.230018
86.552999,99,554.570884
86.552832,99,558.506629
85.589595,99,562.339892
86.485141,99,566.10685
86.485141,99,569.794046
86.552999,99,573.497371
86.552832,99,577.233378
87.564403,99,580.937121
86.552832,99,584.685512
86.376186,99,588.345098
86.552999,99,591.983839
86.209814,99,595.85755
86.552832,99,599.647904
86.552832,99,603.317415
91.985747,99,607.249853
86.552999,99,610.982099
86.437904,99,614.790099
86.552832,99,618.535841
86.92174,99,622.137265
86.552832,99,626.037513
86.552999,99,629.737506
86.552999,99,633.531492
86.552999,99,637.221102
85.589762,99,641.146508
84.612301,99,645.139621
86.552999,99,648.875077
86.552999,99,652.562637
86.552999,99,656.279918
86.552999,99,660.002346
85.3573,99,663.698509
86.552832,99,667.375896
85.868697,99,671.04844
86.209978,99,674.742881
86.552999,99,678.425743
85.589762,99,682.141768
86.552999,99,685.860271
86.552999,99,689.519178
86.552999,99,693.23803
86.552999,99,697.011703
86.552999,99,700.689736
86.552999,99,704.429871
86.526805,99,708.036514
86.552999,99,711.72504
86.547413,99,715.402456
86.552999,99,719.036176
86.552999,99,722.773539
86.552999,99,726.462956
86.552999,99,730.112122
86.552999,99,733.742723
86.552999,99,737.446115
86.552999,99,741.164073
87.472271,99,744.844542
86.552999,99,748.533103
86.552999,99,752.269707
86.552999,99,755.895291
86.552999,99,759.633602
86.438039,99,763.398998
86.552999,99,767.041696
86.553353,99,770.729763
86.552999,99,774.484676
86.552999,99,778.178194
86.552999,99,781.869374
86.552999,99,785.577655
86.552999,99,789.329954
86.552999,99,793.049485
86.552999,99,796.751822
86.438039,99,800.452361
86.552999,99,804.161036
86.552999,99,807.922612
86.552999,99,811.612309
86.005696,99,815.320168
86.552999,99,819.004083
85.802563,99,822.71013
86.552999,99,826.462253
86.552999,99,830.165341
86.552999,99,833.924135
86.552999,99,837.608452
86.552999,99,841.331535
86.552999,99,845.129679
86.552999,99,848.898468
86.128386,99,852.601679
86.552999,99,856.313012
86.552999,99,859.980864
86.552999,99,863.717292
86.552999,99,867.484339
86.552999,99,871.265496
86.552999,99,875.156116
86.005696,99,879.004494
86.134303,99,882.816166
86.552999,99,886.523443
91.777673,99,890.158315
86.552999,99,894.128095
86.005696,99,898.086944
91.777673,99,901.723984
86.552832,99,905.429338
86.485141,99,909.311565
86.438039,99,913.079955
86.552999,99,917.126749
86.552999,99,920.981769
86.445806,99,924.809245
86.552832,99,928.693926
86.552999,99,932.614895
85.424074,99,936.416928
86.552999,99,940.224449
86.552999,99,944.385875
86.552999,99,948.149115
86.552999,99,951.892941
86.552832,99,955.569883
91.985747,99,959.275606
86.485141,99,963.023707
86.492221,99,966.661287
86.555197,99,970.422426
86.552999,99,974.158914
86.552999,99,977.863147
86.552832,99,981.605713
86.485141,99,985.315355
86.552999,99,989.081744
86.134303,99,992.783141
83.721737,99,996.610187
84.608242,99,1000.302975
86.485279,99,1004.01745
86.552999,99,1007.762433
87.027008,99,1011.39248
86.485141,99,1015.060554
86.485141,99,1018.755352
86.485141,99,1022.457281
86.552999,99,1026.117039
86.553353,99,1029.893968
86.128195,99,1033.548951
84.236162,99,1037.22542
86.485141,99,1041.006064
91.985747,99,1044.559291
86.263951,99,1048.239129
86.325583,99,1052.207504
85.389547,99,1055.865317
84.608242,99,1059.549441
86.485141,99,1063.287388
86.485141,99,1066.984951
86.552832,99,1070.685611
84.608242,99,1074.395695
83.823813,99,1078.11541
88.037135,99,1081.992362
86.064683,99,1085.700245
86.374662,99,1089.472128
86.485141,99,1093.124828
86.485141,99,1096.873803
86.485141,99,1100.622989
86.494922,99,1104.353568
86.485141,99,1108.145733
84.608242,99,1111.816675
86.261243,99,1115.498852
84.608242,99,1119.233204
86.553437,99,1122.961937
85.687618,99,1126.599316
86.485141,99,1130.289065
86.055119,99,1133.95077
